word,set,usas_tag,usas_top_level,usas_top_level_name
aim,remained,X7+,X,"Psychological Actions, States and Processes"
air,remained,O1.3,O,"Substances, Materials, Objects and Equipment"
alive,remained,L1+,L,Life and Living Things
all,remained,A13.2,A,General and Abstract Terms
allow,remained,S7.4+,S,"Social Actions, States and Processes"
almost,remained,A13.4,A,General and Abstract Terms
alone,remained,A14,A,General and Abstract Terms
along,remained,M6,M,"Movement, Location, Travel and Transport"
already,remained,T1.1.1,T,Time
also,remained,N5++,N,Numbers and Measurement
although,remained,Z5,Z,Names and Grammar
altogether,remained,A13.2,A,General and Abstract Terms
always,remained,N6+++,N,Numbers and Measurement
among,remained,Z5,Z,Names and Grammar
amount,remained,N5,N,Numbers and Measurement
ancient,remained,T3++,T,Time
and,remained,Z5,Z,Names and Grammar
anger,remained,E3-,E,Emotion
angle,remained,O4.4,O,"Substances, Materials, Objects and Equipment"
angry,remained,E3-,E,Emotion
animal,remained,L2,L,Life and Living Things
another,remained,A6.1-,A,General and Abstract Terms
answer,remained,Q2.2,Q,Language and Communication
anxiety,remained,E6-,E,Emotion
anxious,remained,E6-,E,Emotion
any,remained,A13.3,A,General and Abstract Terms
anybody,remained,Z8mfc,Z,Names and Grammar
anyone,remained,Z8mfc,Z,Names and Grammar
anything,remained,Z8,Z,Names and Grammar
anyway,remained,Z4,Z,Names and Grammar
anywhere,remained,M6,M,"Movement, Location, Travel and Transport"
apart,remained,N3.3+,N,Numbers and Measurement
appear,remained,A8,A,General and Abstract Terms
appearance,remained,A10+,A,General and Abstract Terms
application,remained,Q1.2,Q,Language and Communication
apply,remained,Q2.2,Q,Language and Communication
appoint,remained,S7.1+,S,"Social Actions, States and Processes"
approve,remained,S7.4+,S,"Social Actions, States and Processes"
argue,remained,Q2.1,Q,Language and Communication
arise,remained,A1.1.1,A,General and Abstract Terms
arm,remained,G3,G,Government and Public
army,remained,G3c,G,Government and Public
around,remained,Z5,Z,Names and Grammar
arrange,remained,S7.1+,S,"Social Actions, States and Processes"
arrest,remained,G2.1,G,Government and Public
arrive,remained,M1,M,"Movement, Location, Travel and Transport"
art,remained,C1,C,Arts and Crafts
article,remained,Q4.2,Q,Language and Communication
ashamed,remained,G2.2-,G,Government and Public
aside,remained,Q2.1/A1.2-,Q,Language and Communication
ask,remained,Q2.2,Q,Language and Communication
association,remained,S5+c,S,"Social Actions, States and Processes"
at,remained,Z5,Z,Names and Grammar
attack,remained,E3-,E,Emotion
attempt,remained,X8+,X,"Psychological Actions, States and Processes"
attend,remained,S1.1.3+,S,"Social Actions, States and Processes"
attention,remained,X5.1+,X,"Psychological Actions, States and Processes"
attract,remained,O4.2+,O,"Substances, Materials, Objects and Equipment"
attraction,remained,O4.2+,O,"Substances, Materials, Objects and Equipment"
attractive,remained,O4.2+,O,"Substances, Materials, Objects and Equipment"
audience,remained,K1/S2mfc,K,"Entertainment, Sports and Games"
aunt,remained,S4f,S,"Social Actions, States and Processes"
autumn,remained,T1.3,T,Time
average,remained,N2,N,Numbers and Measurement
avoid,remained,A1.9,A,General and Abstract Terms
away,remained,M6,M,"Movement, Location, Travel and Transport"
baby,remained,T3--/S2mf,T,Time
back,remained,B1,B,The Body and the Individual
bad,remained,A5.1-,A,General and Abstract Terms
bag,remained,B5,B,The Body and the Individual
balance,remained,O4.1/B1,O,"Substances, Materials, Objects and Equipment"
ball,remained,O2/O4.4,O,"Substances, Materials, Objects and Equipment"
band,remained,K2c,K,"Entertainment, Sports and Games"
bank,remained,I1/H1,I,Money and Commerce in Industry
bar,remained,F2/H1c,F,Food and Farming
base,remained,T2+,T,Time
basic,remained,A6.2+,A,General and Abstract Terms
basis,remained,A2.2,A,General and Abstract Terms
bath,remained,H5/B4,H,"Architecture, Housing and the Home"
battle,remained,X8+,X,"Psychological Actions, States and Processes"
be,remained,A3+,A,General and Abstract Terms
bear,remained,M2,M,"Movement, Location, Travel and Transport"
beat,remained,X9.2+/S7.3,X,"Psychological Actions, States and Processes"
beauty,remained,O4.2+,O,"Substances, Materials, Objects and Equipment"
because,remained,Z5/A2.2,Z,Names and Grammar
become,remained,A2.1+,A,General and Abstract Terms
bed,remained,H5,H,"Architecture, Housing and the Home"
bedroom,remained,H2,H,"Architecture, Housing and the Home"
before,remained,Z5,Z,Names and Grammar
begin,remained,T2+,T,Time
behave,remained,S1.1.1,S,"Social Actions, States and Processes"
behavior,remained,S1.1.1,S,"Social Actions, States and Processes"
behind,remained,M6,M,"Movement, Location, Travel and Transport"
belief,remained,X2.1,X,"Psychological Actions, States and Processes"
believe,remained,X2.1,X,"Psychological Actions, States and Processes"
bell,remained,O2/X3.2,O,"Substances, Materials, Objects and Equipment"
belong,remained,A9+,A,General and Abstract Terms
below,remained,Z5,Z,Names and Grammar
belt,remained,E3-,E,Emotion
bend,remained,O4.4,O,"Substances, Materials, Objects and Equipment"
beneath,remained,M6,M,"Movement, Location, Travel and Transport"
beside,remained,M6,M,"Movement, Location, Travel and Transport"
besides,remained,Z5,Z,Names and Grammar
between,remained,Z5,Z,Names and Grammar
beyond,remained,Z5,Z,Names and Grammar
big,remained,N3.2+,N,Numbers and Measurement
bill,remained,I1.3,I,Money and Commerce in Industry
bind,remained,E2-,E,Emotion
bird,remained,L2mfn,L,Life and Living Things
birth,remained,B1,B,The Body and the Individual
bit,remained,N5-,N,Numbers and Measurement
bite,remained,B1,B,The Body and the Individual
black,remained,O4.3,O,"Substances, Materials, Objects and Equipment"
blame,remained,G2.1,G,Government and Public
bless,remained,S9,S,"Social Actions, States and Processes"
blind,remained,X3.4-,X,"Psychological Actions, States and Processes"
block,remained,O2,O,"Substances, Materials, Objects and Equipment"
blood,remained,B1,B,The Body and the Individual
blow,remained,A1.1.1,A,General and Abstract Terms
blue,remained,I1.2,I,Money and Commerce in Industry
board,remained,S7.1+/S5+c,S,"Social Actions, States and Processes"
boat,remained,M4,M,"Movement, Location, Travel and Transport"
body,remained,B1,B,The Body and the Individual
bone,remained,B1,B,The Body and the Individual
book,remained,A9+/Q2.2,A,General and Abstract Terms
border,remained,M7/G1.1,M,"Movement, Location, Travel and Transport"
borrow,remained,A9+,A,General and Abstract Terms
both,remained,Z5,Z,Names and Grammar
bottle,remained,O2,O,"Substances, Materials, Objects and Equipment"
bottom,remained,N4,N,Numbers and Measurement
boundary,remained,M7,M,"Movement, Location, Travel and Transport"
bowl,remained,K5.1,K,"Entertainment, Sports and Games"
box,remained,K5.1,K,"Entertainment, Sports and Games"
boy,remained,Z4,Z,Names and Grammar
brain,remained,E3-,E,Emotion
branch,remained,N5+,N,Numbers and Measurement
bread,remained,F1,F,Food and Farming
break,remained,A1.1.2,A,General and Abstract Terms
breakfast,remained,F1,F,Food and Farming
breath,remained,B1,B,The Body and the Individual
breathe,remained,B1,B,The Body and the Individual
bridge,remained,H1,H,"Architecture, Housing and the Home"
bright,remained,O4.3,O,"Substances, Materials, Objects and Equipment"
bring,remained,M2,M,"Movement, Location, Travel and Transport"
broad,remained,A4.2-,A,General and Abstract Terms
broadcast,remained,Q4.3,Q,Language and Communication
brother,remained,S4m,S,"Social Actions, States and Processes"
brown,remained,O4.3,O,"Substances, Materials, Objects and Equipment"
brush,remained,B4,B,The Body and the Individual
build,remained,H1,H,"Architecture, Housing and the Home"
bunch,remained,S5+,S,"Social Actions, States and Processes"
burn,remained,O4.6+,O,"Substances, Materials, Objects and Equipment"
burst,remained,A1.1.2,A,General and Abstract Terms
bury,remained,A10-,A,General and Abstract Terms
bus,remained,M3,M,"Movement, Location, Travel and Transport"
business,remained,I2.1,I,Money and Commerce in Industry
busy,remained,A1.1.1,A,General and Abstract Terms
but,remained,A13.6,A,General and Abstract Terms
button,remained,B5,B,The Body and the Individual
buy,remained,I2.2,I,Money and Commerce in Industry
by,remained,M6,M,"Movement, Location, Travel and Transport"
cake,remained,O4.1,O,"Substances, Materials, Objects and Equipment"
calculate,remained,N2,N,Numbers and Measurement
call,remained,Q2.2,Q,Language and Communication
calm,remained,E3+,E,Emotion
camera,remained,C1,C,Arts and Crafts
camp,remained,H4,H,"Architecture, Housing and the Home"
can,remained,O2,O,"Substances, Materials, Objects and Equipment"
cap,remained,B5,B,The Body and the Individual
capital,remained,I1.1,I,Money and Commerce in Industry
car,remained,M3fn,M,"Movement, Location, Travel and Transport"
card,remained,B5,B,The Body and the Individual
care,remained,E6-,E,Emotion
carry,remained,M2,M,"Movement, Location, Travel and Transport"
case,remained,A4.1,A,General and Abstract Terms
castle,remained,H1,H,"Architecture, Housing and the Home"
cat,remained,L2,L,Life and Living Things
catch,remained,A9+,A,General and Abstract Terms
cause,remained,A2.2,A,General and Abstract Terms
cent,remained,I1,I,Money and Commerce in Industry
center,remained,M6,M,"Movement, Location, Travel and Transport"
century,remained,T1.3,T,Time
ceremony,remained,S1.1.1,S,"Social Actions, States and Processes"
certain,remained,A4.2+,A,General and Abstract Terms
chain,remained,A1.7+,A,General and Abstract Terms
chair,remained,S7.1+,S,"Social Actions, States and Processes"
chairman,remained,S7.1+/S2mf,S,"Social Actions, States and Processes"
chance,remained,A1.4,A,General and Abstract Terms
change,remained,A2.1+,A,General and Abstract Terms
character,remained,S2mf,S,"Social Actions, States and Processes"
charge,remained,I1.3,I,Money and Commerce in Industry
charm,remained,O4.2+,O,"Substances, Materials, Objects and Equipment"
cheap,remained,I1.3-,I,Money and Commerce in Industry
check,remained,X2.4/A5.3,X,"Psychological Actions, States and Processes"
cheese,remained,F1,F,Food and Farming
chest,remained,B1,B,The Body and the Individual
chicken,remained,E5-,E,Emotion
chief,remained,S7.1+,S,"Social Actions, States and Processes"
child,remained,S2mf/T3-,S,"Social Actions, States and Processes"
childhood,remained,T1.3/T3-,T,Time
choice,remained,X7+,X,"Psychological Actions, States and Processes"
choose,remained,X7+,X,"Psychological Actions, States and Processes"
church,remained,S9/H1c,S,"Social Actions, States and Processes"
circle,remained,M1,M,"Movement, Location, Travel and Transport"
citizen,remained,G1.1/S2mf,G,Government and Public
city,remained,M7c,M,"Movement, Location, Travel and Transport"
claim,remained,Q2.2,Q,Language and Communication
class,remained,A4.1,A,General and Abstract Terms
clean,remained,O4.2+,O,"Substances, Materials, Objects and Equipment"
clear,remained,K5.1/X9.2+,K,"Entertainment, Sports and Games"
climb,remained,M1,M,"Movement, Location, Travel and Transport"
clock,remained,O2/T1,O,"Substances, Materials, Objects and Equipment"
close,remained,N3.3-,N,Numbers and Measurement
clothe,remained,B5,B,The Body and the Individual
cloud,remained,W4,W,World and Environment
club,remained,S5+c,S,"Social Actions, States and Processes"
coal,remained,O1.1,O,"Substances, Materials, Objects and Equipment"
coast,remained,W3/M4,W,World and Environment
coat,remained,B5,B,The Body and the Individual
coffee,remained,F2,F,Food and Farming
coin,remained,A1.1.1,A,General and Abstract Terms
cold,remained,B2-,B,The Body and the Individual
collect,remained,S9/Q1.1,S,"Social Actions, States and Processes"
collection,remained,A9+,A,General and Abstract Terms
college,remained,P1/H1c,P,Education
color,remained,O4.3,O,"Substances, Materials, Objects and Equipment"
combine,remained,S5+c,S,"Social Actions, States and Processes"
come,remained,M1,M,"Movement, Location, Travel and Transport"
comfort,remained,S8+,S,"Social Actions, States and Processes"
command,remained,S7.1+,S,"Social Actions, States and Processes"
commercial,remained,I2.2/Q2.2,I,Money and Commerce in Industry
committee,remained,S7.1+/S5+c,S,"Social Actions, States and Processes"
common,remained,M7,M,"Movement, Location, Travel and Transport"
company,remained,I2.1/S5+c,I,Money and Commerce in Industry
compare,remained,A6,A,General and Abstract Terms
comparison,remained,A6.1,A,General and Abstract Terms
compete,remained,S7.3+,S,"Social Actions, States and Processes"
competition,remained,K1,K,"Entertainment, Sports and Games"
competitor,remained,S7.3+/S2mf,S,"Social Actions, States and Processes"
complain,remained,Q2.2/E2-,Q,Language and Communication
complaint,remained,Q2.2/E2-,Q,Language and Communication
complete,remained,T2-,T,Time
complicate,remained,A12-,A,General and Abstract Terms
compose,remained,N5.1+,N,Numbers and Measurement
composition,remained,N5.1+,N,Numbers and Measurement
concern,remained,E6-,E,Emotion
condition,remained,O4.1,O,"Substances, Materials, Objects and Equipment"
confidence,remained,E6+,E,Emotion
confident,remained,E6+,E,Emotion
confuse,remained,X2.5-,X,"Psychological Actions, States and Processes"
confusion,remained,X2.5-,X,"Psychological Actions, States and Processes"
connect,remained,A2.2,A,General and Abstract Terms
connection,remained,A2.2,A,General and Abstract Terms
consider,remained,X2.1,X,"Psychological Actions, States and Processes"
contain,remained,A1.8+,A,General and Abstract Terms
content,remained,E4.2+,E,Emotion
continue,remained,T2++,T,Time
control,remained,S7.1+,S,"Social Actions, States and Processes"
conversation,remained,Q2.1,Q,Language and Communication
cook,remained,F1,F,Food and Farming
cool,remained,O4.6-/A2.1,O,"Substances, Materials, Objects and Equipment"
copy,remained,A5.4-,A,General and Abstract Terms
corner,remained,A1.7+,A,General and Abstract Terms
correct,remained,A5.3+/A2.1,A,General and Abstract Terms
cost,remained,I1.3,I,Money and Commerce in Industry
cough,remained,B2,B,The Body and the Individual
could,remained,A7+,A,General and Abstract Terms
council,remained,G1.1c,G,Government and Public
count,remained,N2,N,Numbers and Measurement
country,remained,G1.1c,G,Government and Public
course,remained,M6,M,"Movement, Location, Travel and Transport"
court,remained,S3.2,S,"Social Actions, States and Processes"
cousin,remained,S4mf,S,"Social Actions, States and Processes"
cover,remained,A10-,A,General and Abstract Terms
cow,remained,L2fn,L,Life and Living Things
crack,remained,A1.1.2,A,General and Abstract Terms
crash,remained,A1.1.2,A,General and Abstract Terms
cream,remained,F1,F,Food and Farming
creature,remained,L2,L,Life and Living Things
crime,remained,G2.1-,G,Government and Public
criminal,remained,G2.1-/S2mf,G,Government and Public
critic,remained,Q2.2/S2mf,Q,Language and Communication
crop,remained,F4,F,Food and Farming
cross,remained,M1,M,"Movement, Location, Travel and Transport"
crowd,remained,N5++,N,Numbers and Measurement
cry,remained,E4.1-,E,Emotion
cup,remained,O4.4,O,"Substances, Materials, Objects and Equipment"
curious,remained,X5.2+,X,"Psychological Actions, States and Processes"
current,remained,W3/M4,W,World and Environment
curtain,remained,A10-,A,General and Abstract Terms
curve,remained,O4.4,O,"Substances, Materials, Objects and Equipment"
custom,remained,A6.2+,A,General and Abstract Terms
customer,remained,I2.2/S2mf,I,Money and Commerce in Industry
cut,remained,A1.1.1,A,General and Abstract Terms
daily,remained,Q4.2,Q,Language and Communication
damage,remained,A1.1.2,A,General and Abstract Terms
dance,remained,K1,K,"Entertainment, Sports and Games"
danger,remained,A15-,A,General and Abstract Terms
dare,remained,E5+,E,Emotion
dark,remained,W2-,W,World and Environment
date,remained,T1.2,T,Time
daughter,remained,S4f,S,"Social Actions, States and Processes"
day,remained,T1.3,T,Time
dead,remained,A13.3,A,General and Abstract Terms
deal,remained,A1.1.1,A,General and Abstract Terms
dear,remained,E2+,E,Emotion
death,remained,L1-,L,Life and Living Things
debt,remained,I1.2,I,Money and Commerce in Industry
decide,remained,X6+,X,"Psychological Actions, States and Processes"
decision,remained,X6+,X,"Psychological Actions, States and Processes"
declare,remained,Q2.2,Q,Language and Communication
decrease,remained,N5-/A2.1,N,Numbers and Measurement
deep,remained,W3/M4,W,World and Environment
defeat,remained,X9.2-,X,"Psychological Actions, States and Processes"
defend,remained,S8+,S,"Social Actions, States and Processes"
defense,remained,S8+,S,"Social Actions, States and Processes"
degree,remained,A13.1,A,General and Abstract Terms
delay,remained,T4-,T,Time
delight,remained,E4.1+,E,Emotion
deliver,remained,M2,M,"Movement, Location, Travel and Transport"
delivery,remained,M2,M,"Movement, Location, Travel and Transport"
demand,remained,Q2.2,Q,Language and Communication
department,remained,H2/S5+c,H,"Architecture, Housing and the Home"
depend,remained,A2.2,A,General and Abstract Terms
dependent,remained,S7.1-/S2mf,S,"Social Actions, States and Processes"
depth,remained,N3.3+,N,Numbers and Measurement
describe,remained,Q2.2,Q,Language and Communication
description,remained,Q2.2,Q,Language and Communication
desert,remained,M1,M,"Movement, Location, Travel and Transport"
deserve,remained,S1.1.4+,S,"Social Actions, States and Processes"
desire,remained,X7+,X,"Psychological Actions, States and Processes"
desk,remained,H5,H,"Architecture, Housing and the Home"
destroy,remained,A1.1.2,A,General and Abstract Terms
destruction,remained,A1.1.2,A,General and Abstract Terms
detail,remained,Q2.2,Q,Language and Communication
determine,remained,A2.2,A,General and Abstract Terms
develop,remained,A2.1+,A,General and Abstract Terms
die,remained,L1-,L,Life and Living Things
difference,remained,A6.1-,A,General and Abstract Terms
different,remained,A6.1-,A,General and Abstract Terms
difficult,remained,A12-,A,General and Abstract Terms
difficulty,remained,A12-,A,General and Abstract Terms
dig,remained,A1.1.1,A,General and Abstract Terms
dinner,remained,F1,F,Food and Farming
direct,remained,M6,M,"Movement, Location, Travel and Transport"
direction,remained,M6,M,"Movement, Location, Travel and Transport"
director,remained,S7.1+/S2mf,S,"Social Actions, States and Processes"
disagree,remained,A6.1-,A,General and Abstract Terms
disappear,remained,A10-,A,General and Abstract Terms
disappoint,remained,E4.2-,E,Emotion
discipline,remained,G2.1,G,Government and Public
discover,remained,A10+,A,General and Abstract Terms
discovery,remained,A10+,A,General and Abstract Terms
discus,remained,K5.1/O2,K,"Entertainment, Sports and Games"
discussion,remained,Q2.1,Q,Language and Communication
disease,remained,B2-,B,The Body and the Individual
dish,remained,F1/A1.1.1,F,Food and Farming
dismiss,remained,A11.1-,A,General and Abstract Terms
distance,remained,N3.3+,N,Numbers and Measurement
distant,remained,N3.3+,N,Numbers and Measurement
distinguish,remained,A6.1-,A,General and Abstract Terms
district,remained,M7,M,"Movement, Location, Travel and Transport"
disturb,remained,X5.1-,X,"Psychological Actions, States and Processes"
divide,remained,A6.1-,A,General and Abstract Terms
division,remained,A6.1-,A,General and Abstract Terms
do,remained,S1.1.3+,S,"Social Actions, States and Processes"
doctor,remained,B3,B,The Body and the Individual
dog,remained,E6-,E,Emotion
dollar,remained,I1,I,Money and Commerce in Industry
door,remained,H2,H,"Architecture, Housing and the Home"
double,remained,N5+/A2.1,N,Numbers and Measurement
doubt,remained,A7-,A,General and Abstract Terms
down,remained,M6,M,"Movement, Location, Travel and Transport"
dozen,remained,N5,N,Numbers and Measurement
drag,remained,S8-,S,"Social Actions, States and Processes"
draw,remained,A1.4,A,General and Abstract Terms
dream,remained,X4.1,X,"Psychological Actions, States and Processes"
dress,remained,B5,B,The Body and the Individual
drink,remained,F2/B1,F,Food and Farming
drive,remained,M3,M,"Movement, Location, Travel and Transport"
drop,remained,M2,M,"Movement, Location, Travel and Transport"
dry,remained,O1.2-,O,"Substances, Materials, Objects and Equipment"
due,remained,X2.6+,X,"Psychological Actions, States and Processes"
during,remained,Z5,Z,Names and Grammar
dust,remained,B4,B,The Body and the Individual
duty,remained,S6+,S,"Social Actions, States and Processes"
each,remained,S1.1.2+,S,"Social Actions, States and Processes"
ear,remained,B1,B,The Body and the Individual
early,remained,T4+,T,Time
earn,remained,A9+/I1,A,General and Abstract Terms
earth,remained,O3,O,"Substances, Materials, Objects and Equipment"
ease,remained,A12+/A2.1,A,General and Abstract Terms
east,remained,M6,M,"Movement, Location, Travel and Transport"
eastern,remained,Z99,Z,Names and Grammar
easy,remained,A12+,A,General and Abstract Terms
eat,remained,F1/B1,F,Food and Farming
edge,remained,A1.1.1,A,General and Abstract Terms
educate,remained,P1,P,Education
education,remained,P1,P,Education
effect,remained,A2.2,A,General and Abstract Terms
effective,remained,X9.2+,X,"Psychological Actions, States and Processes"
efficiency,remained,X9.1+/I3.2,X,"Psychological Actions, States and Processes"
efficient,remained,X9.1+/I3.2,X,"Psychological Actions, States and Processes"
effort,remained,X8+,X,"Psychological Actions, States and Processes"
egg,remained,Q2.2,Q,Language and Communication
either,remained,Z5,Z,Names and Grammar
elect,remained,G1.2/X7+,G,Government and Public
election,remained,G1.2/X7+,G,Government and Public
electric,remained,O3,O,"Substances, Materials, Objects and Equipment"
else,remained,A6.1-,A,General and Abstract Terms
elsewhere,remained,M6/A6.1-,M,"Movement, Location, Travel and Transport"
empire,remained,G1.1,G,Government and Public
employ,remained,I3.1,I,Money and Commerce in Industry
employee,remained,I3.1/S2mf,I,Money and Commerce in Industry
empty,remained,O2/N5---,O,"Substances, Materials, Objects and Equipment"
encourage,remained,S8+,S,"Social Actions, States and Processes"
end,remained,T2-,T,Time
enemy,remained,S1.2.1-/S2mfc,S,"Social Actions, States and Processes"
engine,remained,O2,O,"Substances, Materials, Objects and Equipment"
engineer,remained,Y1/I3.2/S2mf,Y,Science and Technology
enjoy,remained,E2+,E,Emotion
enough,remained,N5+,N,Numbers and Measurement
enter,remained,M1,M,"Movement, Location, Travel and Transport"
entertain,remained,K1,K,"Entertainment, Sports and Games"
entire,remained,N5.1+,N,Numbers and Measurement
entrance,remained,M7,M,"Movement, Location, Travel and Transport"
envelope,remained,O2,O,"Substances, Materials, Objects and Equipment"
equal,remained,A6.1+,A,General and Abstract Terms
escape,remained,A1.7-,A,General and Abstract Terms
especially,remained,A14,A,General and Abstract Terms
essential,remained,S6+,S,"Social Actions, States and Processes"
even,remained,A6.1+,A,General and Abstract Terms
event,remained,A3+/A11.1+,A,General and Abstract Terms
ever,remained,T1.1,T,Time
every,remained,N5.1+,N,Numbers and Measurement
everybody,remained,Z8/N5.1+c,Z,Names and Grammar
everyday,remained,T1.1.2,T,Time
everyone,remained,Z8/N5.1+c,Z,Names and Grammar
everything,remained,Z8/N5.1+,Z,Names and Grammar
everywhere,remained,M6/N5.1+,M,"Movement, Location, Travel and Transport"
evil,remained,G2.2-,G,Government and Public
exact,remained,A5.3+,A,General and Abstract Terms
examine,remained,X2.4,X,"Psychological Actions, States and Processes"
example,remained,A4.1,A,General and Abstract Terms
excellent,remained,A5.1+++,A,General and Abstract Terms
except,remained,Z5,Z,Names and Grammar
exception,remained,A6.1-,A,General and Abstract Terms
excess,remained,N5.2+,N,Numbers and Measurement
exchange,remained,A9/S1.1.2+,A,General and Abstract Terms
excite,remained,X5.2+,X,"Psychological Actions, States and Processes"
excuse,remained,Q2.2,Q,Language and Communication
exercise,remained,K5.1,K,"Entertainment, Sports and Games"
exist,remained,A3+,A,General and Abstract Terms
existence,remained,A3+,A,General and Abstract Terms
expect,remained,X2.6+,X,"Psychological Actions, States and Processes"
expense,remained,I1.3,I,Money and Commerce in Industry
expensive,remained,I1.3+,I,Money and Commerce in Industry
experience,remained,A2.1+/A3+,A,General and Abstract Terms
experiment,remained,X2.4,X,"Psychological Actions, States and Processes"
explain,remained,Q2.2/A7+,Q,Language and Communication
explore,remained,M1,M,"Movement, Location, Travel and Transport"
express,remained,A4.2+,A,General and Abstract Terms
expression,remained,Q3,Q,Language and Communication
extend,remained,N3.3,N,Numbers and Measurement
extension,remained,H1,H,"Architecture, Housing and the Home"
extensive,remained,N5+,N,Numbers and Measurement
extent,remained,N5,N,Numbers and Measurement
extra,remained,N5++,N,Numbers and Measurement
extraordinary,remained,A6.2-,A,General and Abstract Terms
extreme,remained,N5.1+++,N,Numbers and Measurement
eye,remained,X3.4,X,"Psychological Actions, States and Processes"
face,remained,M6,M,"Movement, Location, Travel and Transport"
fact,remained,A5.2+,A,General and Abstract Terms
factory,remained,I4/H1c,I,Money and Commerce in Industry
fade,remained,O4.3,O,"Substances, Materials, Objects and Equipment"
fail,remained,X9.2-,X,"Psychological Actions, States and Processes"
failure,remained,X9.2-,X,"Psychological Actions, States and Processes"
fair,remained,K1/S1.1.1,K,"Entertainment, Sports and Games"
faith,remained,E6+,E,Emotion
fall,remained,M1,M,"Movement, Location, Travel and Transport"
false,remained,A5.2-,A,General and Abstract Terms
familiar,remained,A6.2+,A,General and Abstract Terms
family,remained,S4c,S,"Social Actions, States and Processes"
fan,remained,E2+/S2mf,E,Emotion
fancy,remained,E2+,E,Emotion
far,remained,N3.3+,N,Numbers and Measurement
farm,remained,F4,F,Food and Farming
fashion,remained,B5,B,The Body and the Individual
fast,remained,F1-,F,Food and Farming
fat,remained,O1,O,"Substances, Materials, Objects and Equipment"
father,remained,S4m,S,"Social Actions, States and Processes"
fault,remained,A5.3-,A,General and Abstract Terms
favor,remained,E2++,E,Emotion
favorite,remained,E2+++,E,Emotion
fear,remained,E5-,E,Emotion
fee,remained,I1.3,I,Money and Commerce in Industry
feel,remained,X2.1,X,"Psychological Actions, States and Processes"
fellow,remained,S2.2m,S,"Social Actions, States and Processes"
female,remained,S2.1,S,"Social Actions, States and Processes"
fence,remained,G2.1-,G,Government and Public
few,remained,N5-,N,Numbers and Measurement
field,remained,F4,F,Food and Farming
fight,remained,S8-,S,"Social Actions, States and Processes"
figure,remained,X2.1,X,"Psychological Actions, States and Processes"
fill,remained,N5.1+,N,Numbers and Measurement
film,remained,Q4.3,Q,Language and Communication
find,remained,A10+,A,General and Abstract Terms
fine,remained,G2.1/I1.3,G,Government and Public
finger,remained,B1,B,The Body and the Individual
finish,remained,T2-,T,Time
fire,remained,O4.6+,O,"Substances, Materials, Objects and Equipment"
firm,remained,O4.5,O,"Substances, Materials, Objects and Equipment"
first,remained,N4,N,Numbers and Measurement
fish,remained,K5.1/L2,K,"Entertainment, Sports and Games"
fit,remained,N3.2/A5.1+,N,Numbers and Measurement
fix,remained,A12-,A,General and Abstract Terms
flag,remained,Q1.1,Q,Language and Communication
flash,remained,O4.3/N6,O,"Substances, Materials, Objects and Equipment"
flat,remained,O4.4,O,"Substances, Materials, Objects and Equipment"
float,remained,O2,O,"Substances, Materials, Objects and Equipment"
flood,remained,W4,W,World and Environment
floor,remained,X9.2-,X,"Psychological Actions, States and Processes"
flow,remained,M4,M,"Movement, Location, Travel and Transport"
flower,remained,L3,L,Life and Living Things
