word,set,concreteness,conc_category
bill,remained,4.68,Very Concrete
bind,remained,3.40,Moderate
bird,remained,5.00,Very Concrete
birth,remained,4.46,Concrete
bit,remained,3.27,Moderate
bite,remained,4.44,Concrete
black,remained,3.76,Moderate
blame,remained,2.06,Abstract
bless,remained,2.68,Abstract
blind,remained,4.03,Concrete
block,remained,4.48,Concrete
blood,remained,4.86,Very Concrete
blow,remained,3.74,Moderate
blue,remained,3.76,Moderate
board,remained,4.57,Very Concrete
boat,remained,4.93,Very Concrete
body,remained,4.79,Very Concrete
bone,remained,4.90,Very Concrete
book,remained,4.90,Very Concrete
border,remained,4.29,Concrete
borrow,remained,3.10,Moderate
both,remained,2.97,Abstract
bottle,remained,4.91,Very Concrete
bottom,remained,4.25,Concrete
boundary,remained,3.04,Moderate
bowl,remained,4.87,Very Concrete
box,remained,4.90,Very Concrete
boy,remained,4.76,Very Concrete
brain,remained,4.69,Very Concrete
branch,remained,4.90,Very Concrete
bread,remained,4.92,Very Concrete
break,remained,3.71,Moderate
breakfast,remained,4.43,Concrete
breath,remained,4.36,Concrete
breathe,remained,4.07,Concrete
bridge,remained,4.97,Very Concrete
bright,remained,3.92,Moderate
bring,remained,2.55,Abstract
broad,remained,2.45,Abstract
broadcast,remained,3.46,Moderate
brother,remained,4.43,Concrete
brown,remained,4.48,Concrete
brush,remained,4.54,Very Concrete
build,remained,3.71,Moderate
bunch,remained,3.50,Moderate
burn,remained,4.11,Concrete
burst,remained,3.10,Moderate
bury,remained,3.82,Moderate
bus,remained,4.90,Very Concrete
business,remained,3.28,Moderate
busy,remained,2.41,Abstract
but,remained,2.04,Abstract
button,remained,4.96,Very Concrete
buy,remained,3.35,Moderate
by,remained,1.55,Very Abstract
cake,remained,4.81,Very Concrete
calculate,remained,2.74,Abstract
call,remained,4.00,Moderate
calm,remained,2.83,Abstract
camera,remained,5.00,Very Concrete
camp,remained,4.35,Concrete
can,remained,4.55,Very Concrete
cap,remained,4.59,Very Concrete
capital,remained,4.10,Concrete
car,remained,4.89,Very Concrete
card,remained,4.90,Very Concrete
care,remained,2.33,Abstract
carry,remained,4.04,Concrete
case,remained,3.93,Moderate
castle,remained,4.96,Very Concrete
cat,remained,4.86,Very Concrete
catch,remained,4.11,Concrete
cause,remained,2.43,Abstract
cent,remained,4.19,Concrete
center,remained,3.85,Moderate
century,remained,2.83,Abstract
ceremony,remained,3.57,Moderate
certain,remained,1.68,Very Abstract
chain,remained,4.55,Very Concrete
chair,remained,4.58,Very Concrete
chairman,remained,4.31,Concrete
chance,remained,1.64,Very Abstract
change,remained,2.89,Abstract
character,remained,2.93,Abstract
charge,remained,2.96,Abstract
charm,remained,2.76,Abstract
cheap,remained,2.11,Abstract
check,remained,4.11,Concrete
cheese,remained,4.70,Very Concrete
chest,remained,4.93,Very Concrete
chicken,remained,4.80,Very Concrete
chief,remained,4.26,Concrete
child,remained,4.78,Very Concrete
childhood,remained,2.53,Abstract
choice,remained,1.90,Very Abstract
choose,remained,2.62,Abstract
church,remained,4.90,Very Concrete
circle,remained,4.44,Concrete
citizen,remained,4.43,Concrete
city,remained,4.79,Very Concrete
claim,remained,2.96,Abstract
class,remained,3.85,Moderate
clean,remained,3.07,Moderate
clear,remained,3.55,Moderate
climb,remained,4.11,Concrete
clock,remained,5.00,Very Concrete
close,remained,3.20,Moderate
clothe,remained,3.50,Moderate
cloud,remained,4.54,Very Concrete
club,remained,3.78,Moderate
coal,remained,4.66,Very Concrete
coast,remained,4.21,Concrete
coat,remained,4.97,Very Concrete
coffee,remained,4.81,Very Concrete
coin,remained,4.89,Very Concrete
cold,remained,3.85,Moderate
collect,remained,3.34,Moderate
collection,remained,4.04,Concrete
college,remained,4.62,Very Concrete
color,remained,4.08,Concrete
combine,remained,3.41,Moderate
come,remained,2.72,Abstract
comfort,remained,2.89,Abstract
command,remained,2.48,Abstract
commercial,remained,3.24,Moderate
committee,remained,4.14,Concrete
common,remained,2.07,Abstract
company,remained,4.11,Concrete
compare,remained,2.52,Abstract
comparison,remained,2.00,Very Abstract
compete,remained,2.57,Abstract
competition,remained,3.86,Moderate
competitor,remained,3.23,Moderate
complain,remained,2.60,Abstract
complaint,remained,2.69,Abstract
complete,remained,2.70,Abstract
complicate,remained,1.65,Very Abstract
compose,remained,2.83,Abstract
composition,remained,3.10,Moderate
concern,remained,1.70,Very Abstract
condition,remained,2.15,Abstract
confidence,remained,2.17,Abstract
confident,remained,2.62,Abstract
confuse,remained,2.04,Abstract
confusion,remained,2.24,Abstract
connect,remained,2.88,Abstract
connection,remained,3.00,Abstract
consider,remained,1.68,Very Abstract
contain,remained,2.74,Abstract
content,remained,2.59,Abstract
continue,remained,2.36,Abstract
control,remained,1.93,Very Abstract
conversation,remained,3.28,Moderate
cook,remained,4.32,Concrete
cool,remained,3.53,Moderate
copy,remained,3.90,Moderate
corner,remained,4.61,Very Concrete
correct,remained,2.59,Abstract
cost,remained,2.50,Abstract
cough,remained,4.36,Concrete
could,remained,1.34,Very Abstract
council,remained,2.73,Abstract
count,remained,3.00,Abstract
country,remained,4.17,Concrete
course,remained,3.82,Moderate
court,remained,4.31,Concrete
cousin,remained,3.70,Moderate
cover,remained,4.23,Concrete
cow,remained,4.96,Very Concrete
crack,remained,4.53,Very Concrete
crash,remained,3.79,Moderate
cream,remained,4.83,Very Concrete
creature,remained,4.07,Concrete
crime,remained,3.03,Moderate
criminal,remained,3.48,Moderate
critic,remained,3.55,Moderate
crop,remained,4.24,Concrete
cross,remained,4.44,Concrete
crowd,remained,4.52,Very Concrete
cry,remained,4.00,Moderate
cup,remained,5.00,Very Concrete
curious,remained,1.75,Very Abstract
current,remained,3.16,Moderate
curtain,remained,4.82,Very Concrete
curve,remained,4.41,Concrete
custom,remained,2.68,Abstract
customer,remained,3.82,Moderate
cut,remained,4.55,Very Concrete
daily,remained,3.15,Moderate
damage,remained,3.20,Moderate
dance,remained,4.32,Concrete
danger,remained,2.68,Abstract
dare,remained,2.28,Abstract
dark,remained,4.29,Concrete
date,remained,3.90,Moderate
daughter,remained,4.79,Very Concrete
day,remained,3.92,Moderate
dead,remained,4.07,Concrete
deal,remained,3.10,Moderate
dear,remained,2.25,Abstract
death,remained,3.73,Moderate
debt,remained,2.72,Abstract
decide,remained,1.92,Very Abstract
decision,remained,2.19,Abstract
declare,remained,2.00,Very Abstract
decrease,remained,2.68,Abstract
deep,remained,3.38,Moderate
defeat,remained,2.96,Abstract
defend,remained,2.31,Abstract
defense,remained,2.45,Abstract
degree,remained,3.00,Abstract
delay,remained,2.79,Abstract
delight,remained,2.30,Abstract
deliver,remained,3.12,Moderate
delivery,remained,3.69,Moderate
demand,remained,2.20,Abstract
department,remained,3.30,Moderate
depend,remained,1.89,Very Abstract
dependent,remained,2.32,Abstract
depth,remained,3.11,Moderate
describe,remained,2.18,Abstract
description,remained,2.43,Abstract
desert,remained,4.86,Very Concrete
deserve,remained,1.69,Very Abstract
desire,remained,1.70,Very Abstract
desk,remained,4.87,Very Concrete
destroy,remained,3.08,Moderate
destruction,remained,3.21,Moderate
detail,remained,2.50,Abstract
determine,remained,2.13,Abstract
develop,remained,1.87,Very Abstract
die,remained,3.07,Moderate
difference,remained,2.15,Abstract
different,remained,1.97,Very Abstract
difficult,remained,2.21,Abstract
difficulty,remained,1.90,Very Abstract
dig,remained,4.33,Concrete
dinner,remained,4.50,Concrete
direct,remained,2.15,Abstract
direction,remained,2.79,Abstract
director,remained,4.04,Concrete
disagree,remained,2.77,Abstract
disappear,remained,2.86,Abstract
disappoint,remained,1.89,Very Abstract
discipline,remained,2.24,Abstract
discover,remained,2.37,Abstract
discovery,remained,2.36,Abstract
discussion,remained,3.07,Moderate
disease,remained,3.45,Moderate
dish,remained,4.90,Very Concrete
dismiss,remained,2.39,Abstract
distance,remained,3.17,Moderate
distant,remained,2.75,Abstract
distinguish,remained,2.20,Abstract
district,remained,3.29,Moderate
disturb,remained,3.04,Moderate
divide,remained,2.86,Abstract
division,remained,2.80,Abstract
do,remained,2.46,Abstract
doctor,remained,4.69,Very Concrete
dog,remained,4.85,Very Concrete
dollar,remained,4.93,Very Concrete
door,remained,4.81,Very Concrete
double,remained,3.37,Moderate
doubt,remained,1.79,Very Abstract
down,remained,3.52,Moderate
dozen,remained,4.66,Very Concrete
drag,remained,4.17,Concrete
draw,remained,3.97,Moderate
dream,remained,2.60,Abstract
dress,remained,4.93,Very Concrete
drink,remained,4.76,Very Concrete
drive,remained,3.86,Moderate
drop,remained,4.21,Concrete
dry,remained,3.77,Moderate
due,remained,3.21,Moderate
during,remained,1.48,Very Abstract
dust,remained,4.40,Concrete
duty,remained,2.19,Abstract
each,remained,2.03,Abstract
ear,remained,5.00,Very Concrete
early,remained,2.25,Abstract
earn,remained,2.39,Abstract
earth,remained,4.80,Very Concrete
ease,remained,2.32,Abstract
east,remained,3.04,Moderate
eastern,remained,3.11,Moderate
easy,remained,2.07,Abstract
eat,remained,4.44,Concrete
edge,remained,4.24,Concrete
educate,remained,2.12,Abstract
education,remained,2.93,Abstract
effect,remained,1.80,Very Abstract
effective,remained,2.04,Abstract
efficiency,remained,2.15,Abstract
efficient,remained,1.82,Very Abstract
effort,remained,2.33,Abstract
egg,remained,4.97,Very Concrete
either,remained,1.81,Very Abstract
elect,remained,2.41,Abstract
election,remained,3.17,Moderate
electric,remained,3.56,Moderate
else,remained,1.63,Very Abstract
elsewhere,remained,1.89,Very Abstract
empire,remained,3.00,Abstract
employ,remained,2.41,Abstract
employee,remained,4.10,Concrete
empty,remained,3.43,Moderate
encourage,remained,2.61,Abstract
end,remained,3.14,Moderate
enemy,remained,2.83,Abstract
engine,remained,4.86,Very Concrete
engineer,remained,4.64,Very Concrete
enjoy,remained,2.29,Abstract
enough,remained,1.33,Very Abstract
enter,remained,3.12,Moderate
entertain,remained,2.55,Abstract
entire,remained,2.03,Abstract
entrance,remained,4.23,Concrete
envelope,remained,4.93,Very Concrete
equal,remained,2.56,Abstract
escape,remained,3.34,Moderate
especially,remained,1.28,Very Abstract
essential,remained,1.52,Very Abstract
even,remained,2.79,Abstract
event,remained,2.69,Abstract
ever,remained,1.48,Very Abstract
every,remained,2.28,Abstract
everybody,remained,3.13,Moderate
everyday,remained,2.43,Abstract
everyone,remained,2.92,Abstract
everything,remained,2.30,Abstract
everywhere,remained,2.00,Very Abstract
evil,remained,1.93,Very Abstract
exact,remained,2.54,Abstract
examine,remained,2.86,Abstract
example,remained,3.03,Moderate
excellent,remained,2.11,Abstract
except,remained,1.48,Very Abstract
exception,remained,1.85,Very Abstract
excess,remained,2.50,Abstract
exchange,remained,2.74,Abstract
excite,remained,1.97,Very Abstract
excuse,remained,2.29,Abstract
exercise,remained,3.87,Moderate
exist,remained,2.38,Abstract
existence,remained,1.54,Very Abstract
expect,remained,1.89,Very Abstract
expense,remained,2.57,Abstract
expensive,remained,3.13,Moderate
experience,remained,1.80,Very Abstract
experiment,remained,3.38,Moderate
explain,remained,1.97,Very Abstract
explore,remained,2.90,Abstract
express,remained,2.21,Abstract
expression,remained,2.54,Abstract
extend,remained,2.93,Abstract
extension,remained,2.93,Abstract
extensive,remained,1.79,Very Abstract
extent,remained,1.44,Very Abstract
extra,remained,2.46,Abstract
extraordinary,remained,2.13,Abstract
extreme,remained,1.96,Very Abstract
eye,remained,4.90,Very Concrete
face,remained,4.87,Very Concrete
fact,remained,2.72,Abstract
factory,remained,4.76,Very Concrete
fade,remained,2.48,Abstract
fail,remained,3.00,Abstract
failure,remained,2.08,Abstract
fair,remained,2.39,Abstract
faith,remained,1.63,Very Abstract
fall,remained,4.04,Concrete
false,remained,2.36,Abstract
familiar,remained,2.03,Abstract
family,remained,4.23,Concrete
fan,remained,4.71,Very Concrete
fancy,remained,2.50,Abstract
far,remained,2.71,Abstract
farm,remained,4.59,Very Concrete
fashion,remained,3.43,Moderate
fast,remained,3.32,Moderate
fat,remained,4.52,Very Concrete
father,remained,4.52,Very Concrete
fault,remained,2.41,Abstract
favor,remained,2.07,Abstract
favorite,remained,2.71,Abstract
fear,remained,2.57,Abstract
fee,remained,3.89,Moderate
feel,remained,2.28,Abstract
fellow,remained,3.67,Moderate
female,remained,4.57,Very Concrete
fence,remained,4.82,Very Concrete
few,remained,2.48,Abstract
field,remained,4.26,Concrete
fight,remained,4.20,Concrete
figure,remained,3.63,Moderate
fill,remained,3.32,Moderate
film,remained,4.71,Very Concrete
find,remained,2.63,Abstract
fine,remained,2.61,Abstract
finger,remained,5.00,Very Concrete
finish,remained,2.89,Abstract
fire,remained,4.68,Very Concrete
firm,remained,3.54,Moderate
first,remained,2.76,Abstract
fish,remained,5.00,Very Concrete
fit,remained,2.70,Abstract
fix,remained,2.93,Abstract
flag,remained,4.79,Very Concrete
flash,remained,3.67,Moderate
flat,remained,4.07,Concrete
float,remained,4.07,Concrete
flood,remained,4.62,Very Concrete
floor,remained,4.80,Very Concrete
flow,remained,3.72,Moderate
flower,remained,5.00,Very Concrete
fly,remained,4.64,Very Concrete
fold,remained,4.13,Concrete
follow,remained,3.26,Moderate
food,remained,4.80,Very Concrete
fool,remained,3.19,Moderate
foot,remained,4.90,Very Concrete
for,remained,1.63,Very Abstract
force,remained,3.00,Abstract
foreign,remained,2.50,Abstract
forest,remained,4.76,Very Concrete
forget,remained,2.04,Abstract
form,remained,3.13,Moderate
formal,remained,2.70,Abstract
former,remained,2.18,Abstract
forth,remained,2.38,Abstract
fortunate,remained,2.04,Abstract
fortune,remained,2.90,Abstract
forward,remained,2.66,Abstract
frame,remained,4.30,Concrete
framework,remained,3.24,Moderate
free,remained,2.04,Abstract
freedom,remained,2.34,Abstract
freeze,remained,3.96,Moderate
frequency,remained,2.69,Abstract
frequent,remained,2.25,Abstract
fresh,remained,1.97,Very Abstract
friend,remained,3.07,Moderate
friendly,remained,2.32,Abstract
friendship,remained,2.39,Abstract
frighten,remained,3.07,Moderate
from,remained,1.84,Very Abstract
front,remained,3.77,Moderate
fruit,remained,4.81,Very Concrete
full,remained,3.59,Moderate
fun,remained,1.97,Very Abstract
funny,remained,2.50,Abstract
furniture,remained,4.89,Very Concrete
future,remained,1.86,Very Abstract
gain,remained,2.24,Abstract
game,remained,4.50,Concrete
gap,remained,3.92,Moderate
garden,remained,4.73,Very Concrete
gas,remained,4.29,Concrete
gate,remained,4.96,Very Concrete
gather,remained,2.75,Abstract
gay,remained,2.52,Abstract
general,remained,1.62,Very Abstract
gentle,remained,2.53,Abstract
gentleman,remained,3.57,Moderate
get,remained,2.38,Abstract
gift,remained,4.56,Very Concrete
girl,remained,4.85,Very Concrete
give,remained,2.83,Abstract
glad,remained,2.36,Abstract
glass,remained,4.82,Very Concrete
go,remained,3.15,Moderate
god,remained,2.07,Abstract
gold,remained,4.81,Very Concrete
golden,remained,3.12,Moderate
good,remained,1.64,Very Abstract
govern,remained,2.21,Abstract
governor,remained,4.07,Concrete
grain,remained,4.80,Very Concrete
grammar,remained,3.19,Moderate
grand,remained,1.67,Very Abstract
grass,remained,4.93,Very Concrete
grateful,remained,1.78,Very Abstract
gray,remained,3.46,Moderate
great,remained,1.81,Very Abstract
green,remained,4.07,Concrete
greet,remained,2.96,Abstract
grind,remained,3.97,Moderate
group,remained,4.12,Concrete
grow,remained,3.03,Moderate
growth,remained,2.89,Abstract
guard,remained,4.04,Concrete
guess,remained,2.28,Abstract
guest,remained,3.83,Moderate
guide,remained,3.70,Moderate
gun,remained,4.83,Very Concrete
habit,remained,2.76,Abstract
hair,remained,4.97,Very Concrete
half,remained,3.27,Moderate
hall,remained,4.67,Very Concrete
hand,remained,4.72,Very Concrete
handle,remained,4.57,Very Concrete
hang,remained,3.70,Moderate
happen,remained,1.78,Very Abstract
happy,remained,2.56,Abstract
harbor,remained,4.57,Very Concrete
hard,remained,3.76,Moderate
hardly,remained,1.62,Very Abstract
harm,remained,2.62,Abstract
hat,remained,4.88,Very Concrete
hate,remained,1.97,Very Abstract
have,remained,2.18,Abstract
he,remained,3.93,Moderate
head,remained,4.75,Very Concrete
health,remained,2.28,Abstract
hear,remained,3.66,Moderate
heart,remained,4.52,Very Concrete
heat,remained,3.79,Moderate
heavy,remained,3.37,Moderate
height,remained,3.86,Moderate
hello,remained,2.80,Abstract
help,remained,2.56,Abstract
here,remained,3.13,Moderate
hesitate,remained,2.46,Abstract
hide,remained,3.21,Moderate
high,remained,3.46,Moderate
hill,remained,4.93,Very Concrete
hire,remained,3.11,Moderate
history,remained,2.96,Abstract
hit,remained,4.11,Concrete
hold,remained,3.68,Moderate
hole,remained,4.81,Very Concrete
holiday,remained,2.86,Abstract
home,remained,4.11,Concrete
honest,remained,1.66,Very Abstract
honor,remained,1.68,Very Abstract
hook,remained,4.79,Very Concrete
hope,remained,1.25,Very Abstract
horse,remained,5.00,Very Concrete
hospital,remained,4.64,Very Concrete
host,remained,3.63,Moderate
hot,remained,4.31,Concrete
hotel,remained,4.93,Very Concrete
hour,remained,3.10,Moderate
house,remained,5.00,Very Concrete
how,remained,1.35,Very Abstract
however,remained,1.79,Very Abstract
human,remained,4.93,Very Concrete
hunger,remained,3.30,Moderate
hunt,remained,3.81,Moderate
hurry,remained,2.63,Abstract
hurt,remained,3.61,Moderate
husband,remained,4.11,Concrete
i,remained,3.93,Moderate
ice,remained,4.89,Very Concrete
idea,remained,1.61,Very Abstract
ideal,remained,1.37,Very Abstract
if,remained,1.19,Very Abstract
ill,remained,3.21,Moderate
imagine,remained,1.53,Very Abstract
immediate,remained,2.10,Abstract
importance,remained,1.75,Very Abstract
important,remained,2.14,Abstract
impossible,remained,1.66,Very Abstract
improve,remained,1.82,Very Abstract
in,remained,3.00,Abstract
inch,remained,4.37,Concrete
include,remained,2.48,Abstract
increase,remained,2.61,Abstract
indeed,remained,1.72,Very Abstract
industry,remained,3.29,Moderate
influence,remained,2.11,Abstract
inform,remained,2.25,Abstract
inquiry,remained,2.70,Abstract
inside,remained,3.67,Moderate
instead,remained,1.48,Very Abstract
instrument,remained,4.27,Concrete
insurance,remained,2.86,Abstract
insure,remained,2.41,Abstract
intend,remained,1.71,Very Abstract
intention,remained,1.70,Very Abstract
interest,remained,1.80,Very Abstract
international,remained,2.82,Abstract
into,remained,2.30,Abstract
introduce,remained,2.62,Abstract
introduction,remained,3.00,Abstract
invent,remained,2.66,Abstract
invite,remained,3.00,Abstract
iron,remained,4.59,Very Concrete
island,remained,4.96,Very Concrete
it,remained,2.81,Abstract
join,remained,2.86,Abstract
joint,remained,4.37,Concrete
joke,remained,2.90,Abstract
journey,remained,2.57,Abstract
joy,remained,2.37,Abstract
judge,remained,3.75,Moderate
jump,remained,4.52,Very Concrete
just,remained,1.52,Very Abstract
justice,remained,1.45,Very Abstract
keep,remained,2.37,Abstract
key,remained,4.89,Very Concrete
kick,remained,4.33,Concrete
kill,remained,3.90,Moderate
kind,remained,2.07,Abstract
king,remained,4.10,Concrete
kiss,remained,4.48,Concrete
kitchen,remained,4.97,Very Concrete
knee,remained,5.00,Very Concrete
knife,remained,4.90,Very Concrete
knock,remained,4.24,Concrete
know,remained,1.68,Very Abstract
knowledge,remained,1.73,Very Abstract
lack,remained,2.04,Abstract
lady,remained,4.33,Concrete
lake,remained,4.88,Very Concrete
land,remained,4.57,Very Concrete
language,remained,2.35,Abstract
large,remained,3.37,Moderate
last,remained,3.04,Moderate
late,remained,2.60,Abstract
latter,remained,2.17,Abstract
laugh,remained,4.21,Concrete
laughter,remained,4.22,Concrete
law,remained,2.57,Abstract
lawyer,remained,4.70,Very Concrete
lay,remained,3.86,Moderate
lazy,remained,2.67,Abstract
lead,remained,4.10,Concrete
leadership,remained,2.43,Abstract
lean,remained,3.00,Abstract
learn,remained,2.20,Abstract
least,remained,2.36,Abstract
leather,remained,4.82,Very Concrete
leave,remained,2.53,Abstract
left,remained,3.70,Moderate
leg,remained,4.83,Very Concrete
lend,remained,3.07,Moderate
length,remained,4.07,Concrete
less,remained,2.77,Abstract
lesson,remained,2.79,Abstract
let,remained,2.26,Abstract
letter,remained,4.70,Very Concrete
level,remained,2.86,Abstract
library,remained,4.80,Very Concrete
lie,remained,3.11,Moderate
life,remained,2.69,Abstract
lift,remained,3.89,Moderate
light,remained,4.21,Concrete
like,remained,1.89,Very Abstract
likely,remained,1.76,Very Abstract
limit,remained,2.28,Abstract
line,remained,4.50,Concrete
lip,remained,4.96,Very Concrete
liquid,remained,4.72,Very Concrete
list,remained,4.43,Concrete
listen,remained,3.47,Moderate
literary,remained,2.32,Abstract
literature,remained,4.10,Concrete
little,remained,3.67,Moderate
live,remained,3.57,Moderate
load,remained,3.63,Moderate
loan,remained,3.72,Moderate
local,remained,3.04,Moderate
lock,remained,4.65,Very Concrete
log,remained,4.96,Very Concrete
long,remained,3.18,Moderate
look,remained,2.96,Abstract
loose,remained,3.18,Moderate
lose,remained,2.25,Abstract
loss,remained,2.19,Abstract
lot,remained,3.70,Moderate
loud,remained,3.73,Moderate
love,remained,2.07,Abstract
lovely,remained,2.29,Abstract
low,remained,3.34,Moderate
luck,remained,1.33,Very Abstract
lunch,remained,4.31,Concrete
machine,remained,4.25,Concrete
mad,remained,2.76,Abstract
mail,remained,4.69,Very Concrete
main,remained,2.41,Abstract
make,remained,2.67,Abstract
male,remained,4.45,Concrete
man,remained,4.79,Very Concrete
manage,remained,2.00,Very Abstract
manner,remained,1.62,Very Abstract
manufacture,remained,3.07,Moderate
many,remained,2.37,Abstract
map,remained,4.93,Very Concrete
march,remained,4.03,Concrete
mark,remained,4.21,Concrete
market,remained,4.70,Very Concrete
marriage,remained,2.51,Abstract
marry,remained,3.03,Moderate
mass,remained,3.44,Moderate
master,remained,2.63,Abstract
match,remained,4.14,Concrete
material,remained,4.26,Concrete
matter,remained,3.54,Moderate
may,remained,3.00,Abstract
maybe,remained,1.52,Very Abstract
meal,remained,4.62,Very Concrete
mean,remained,2.50,Abstract
meanwhile,remained,1.27,Very Abstract
measure,remained,3.59,Moderate
meat,remained,4.90,Very Concrete
mechanism,remained,3.67,Moderate
medical,remained,3.07,Moderate
medicine,remained,4.79,Very Concrete
meet,remained,3.00,Abstract
member,remained,3.07,Moderate
membership,remained,3.04,Moderate
memory,remained,2.38,Abstract
mention,remained,2.69,Abstract
mere,remained,1.43,Very Abstract
message,remained,3.97,Moderate
metal,remained,4.87,Very Concrete
middle,remained,3.69,Moderate
might,remained,2.32,Abstract
mile,remained,3.63,Moderate
milk,remained,4.92,Very Concrete
mind,remained,2.50,Abstract
mine,remained,3.56,Moderate
minister,remained,4.22,Concrete
minute,remained,3.04,Moderate
miss,remained,2.54,Abstract
mistake,remained,1.97,Very Abstract
mix,remained,3.82,Moderate
mixture,remained,3.79,Moderate
model,remained,4.53,Very Concrete
moderate,remained,1.97,Very Abstract
modern,remained,2.31,Abstract
moment,remained,1.61,Very Abstract
money,remained,4.54,Very Concrete
month,remained,4.20,Concrete
moon,remained,4.90,Very Concrete
moral,remained,1.69,Very Abstract
more,remained,2.37,Abstract
moreover,remained,2.00,Very Abstract
morning,remained,3.44,Moderate
most,remained,2.38,Abstract
mother,remained,4.60,Very Concrete
motion,remained,3.80,Moderate
