word,set,pos
chair,remained,noun
chairman,remained,noun
chalk,removed,noun
challenge,added,noun
chamber,added,noun
champion,added,noun
championship,added,noun
chance,remained,noun
change,remained,noun
channel,added,noun
chapter,added,noun
character,remained,noun
characteristic,added,adjective
characterize,added,noun
charge,remained,noun
charity,added,noun
charm,remained,noun
chart,added,noun
chase,added,noun
chat,added,noun
cheap,remained,adjective
cheat,removed,noun
check,remained,noun
cheek,added,noun
cheer,removed,noun
cheese,remained,noun
chemical,added,noun
chest,remained,noun
chicken,remained,noun
chief,remained,noun
child,remained,noun
childhood,remained,noun
chimney,removed,noun
chip,added,noun
chocolate,added,noun
choice,remained,noun
choose,remained,noun
christmas,removed,noun
church,remained,noun
cigarette,added,noun
circle,remained,noun
circular,removed,noun
circumstance,added,noun
cite,added,noun
citizen,remained,noun
city,remained,noun
civil,added,adjective
civilian,added,adjective
civilize,removed,noun
claim,remained,noun
class,remained,noun
classic,added,adjective
classical,added,adjective
classification,removed,noun
classify,removed,noun
clause,added,noun
clay,removed,noun
clean,remained,noun
clear,remained,adjective
clearly,added,adverb
clerk,removed,noun
clever,removed,adjective
click,added,noun
cliff,removed,noun
climate,added,noun
climb,remained,noun
clinical,added,adjective
clock,remained,noun
close,remained,adverb
closely,added,adverb
cloth,removed,noun
clothe,removed,noun
clothes,added,noun
clothing,added,noun
cloud,remained,noun
club,remained,noun
cluster,added,noun
coach,added,noun
coal,remained,noun
coarse,removed,adjective
coast,remained,noun
coat,remained,noun
code,added,noun
coffee,remained,noun
coin,remained,noun
cold,remained,noun
collapse,added,noun
collar,removed,noun
colleague,added,noun
collect,remained,noun
collection,remained,noun
collector,removed,noun
college,remained,noun
colony,removed,noun
color,remained,noun
column,added,noun
comb,removed,noun
combination,added,noun
combine,remained,noun
come,remained,verb
comedy,added,noun
comfort,remained,noun
comfortable,added,adjective
command,remained,noun
comment,added,noun
commerce,removed,noun
commercial,remained,adjective
commission,added,noun
commit,added,noun
commitment,added,noun
committee,remained,noun
common,remained,adjective
communicate,added,noun
communication,added,noun
community,added,noun
companion,removed,noun
companionship,removed,noun
company,remained,noun
compare,remained,noun
comparison,remained,noun
compensation,added,noun
compete,remained,noun
competition,remained,noun
competitive,added,adjective
competitor,remained,noun
complain,remained,noun
complaint,remained,noun
complete,remained,adjective
completely,added,adverb
completion,removed,noun
complex,added,adjective
complexity,added,noun
complicate,remained,noun
complication,removed,noun
component,added,noun
compose,remained,noun
composition,remained,noun
compound,added,noun
comprehensive,added,noun
comprise,added,noun
compromise,added,noun
compute,added,noun
computer,added,noun
concentrate,added,noun
concentration,added,noun
concept,added,noun
concern,remained,noun
concert,added,noun
conclude,added,noun
conclusion,added,noun
concrete,added,noun
condition,remained,noun
conduct,added,noun
conference,added,noun
confess,removed,noun
confession,removed,noun
confidence,remained,noun
confident,remained,adjective
confidential,removed,adjective
confirm,added,noun
conflict,added,noun
confuse,remained,noun
confusion,remained,noun
congratulate,removed,noun
congratulations,removed,noun
connect,remained,noun
connection,remained,noun
conquer,removed,noun
conqueror,removed,noun
conquest,removed,noun
conscience,removed,noun
conscious,removed,adjective
consequence,added,noun
consequently,added,adverb
conservative,added,adjective
consider,remained,verb
considerable,added,adjective
consideration,added,noun
consist,added,noun
consistent,added,adjective
constant,added,adjective
constantly,added,adverb
constitute,added,noun
constraint,added,noun
construct,added,noun
construction,added,noun
consult,added,noun
consultant,added,noun
consume,added,noun
consumer,added,noun
contact,added,noun
contain,remained,noun
contemporary,added,adjective
content,remained,noun
contest,added,noun
context,added,noun
continue,remained,noun
continuous,added,adjective
contract,added,noun
contrast,added,noun
contribute,added,noun
contribution,added,noun
control,remained,noun
controversial,added,adjective
convenience,removed,noun
convenient,removed,adjective
convention,added,noun
conventional,added,adjective
conversation,remained,noun
convert,added,noun
convince,added,noun
cook,remained,noun
cool,remained,noun
cooperation,added,noun
cope,added,noun
copper,removed,noun
copy,remained,noun
core,added,noun
cork,removed,noun
corn,removed,noun
corner,remained,noun
corporate,added,adjective
corporation,added,noun
correct,remained,noun
correction,removed,noun
correspond,added,noun
cost,remained,noun
cottage,removed,noun
cotton,removed,noun
cough,remained,noun
could,remained,other
council,remained,noun
counsel,added,noun
count,remained,noun
counter,added,noun
country,remained,noun
county,added,noun
couple,added,noun
courage,removed,noun
course,remained,noun
court,remained,noun
cousin,remained,noun
cover,remained,noun
coverage,added,noun
cow,remained,noun
coward,removed,noun
cowardice,removed,noun
crack,remained,noun
craft,added,noun
crash,remained,noun
crazy,added,noun
cream,remained,noun
create,added,noun
creation,added,noun
creative,added,adjective
creature,remained,noun
credit,added,noun
creep,removed,noun
crew,added,noun
crime,remained,noun
criminal,remained,adjective
crisis,added,noun
criteria,added,noun
critic,remained,noun
critical,added,adjective
criticism,added,noun
criticize,added,verb
crop,remained,noun
cross,remained,noun
crowd,remained,noun
crown,removed,noun
crucial,added,adjective
cruel,removed,adjective
crush,removed,noun
cry,remained,noun
cultivate,removed,noun
cultivation,removed,noun
cultivator,removed,noun
cultural,added,adjective
culture,added,noun
cup,remained,noun
cupboard,removed,noun
cure,removed,noun
curious,remained,adjective
curl,removed,noun
currency,added,noun
current,remained,adjective
currently,added,adverb
curse,removed,noun
curtain,remained,noun
curve,remained,noun
cushion,removed,noun
custom,remained,noun
customary,removed,adjective
customer,remained,noun
cut,remained,noun
cycle,added,noun
dad,added,noun
daily,remained,adjective
damage,remained,noun
damn,added,noun
damp,removed,noun
dance,remained,noun
danger,remained,noun
dangerous,added,adjective
dare,remained,noun
dark,remained,noun
darken,removed,noun
darkness,added,noun
data,added,noun
database,added,noun
date,remained,noun
daughter,remained,noun
day,remained,noun
daylight,removed,noun
dead,remained,adjective
deaf,removed,noun
deafen,removed,noun
deal,remained,noun
dealer,added,noun
dear,remained,noun
death,remained,noun
debate,added,noun
debt,remained,noun
decade,added,noun
decay,removed,noun
deceit,removed,noun
deceive,removed,noun
decide,remained,noun
decision,remained,noun
decisive,removed,adjective
declare,remained,noun
decline,added,noun
decrease,remained,noun
dedicate,added,noun
deed,removed,noun
deep,remained,noun
deepen,removed,verb
deeply,added,adverb
deer,removed,noun
defeat,remained,noun
defend,remained,noun
defendant,removed,noun
defense,remained,noun
deficit,added,noun
define,added,noun
definitely,added,adverb
definition,added,noun
degree,remained,noun
delay,remained,noun
delicate,removed,adjective
delight,remained,noun
deliver,remained,noun
delivery,remained,noun
demand,remained,noun
democracy,added,noun
democratic,added,adjective
demonstrate,added,noun
demonstration,added,noun
density,added,noun
deny,added,noun
department,remained,noun
depend,remained,noun
dependence,removed,noun
dependent,remained,noun
deposit,added,noun
depress,added,noun
depression,added,noun
depth,remained,noun
derive,added,noun
descend,removed,noun
descendant,removed,noun
descent,removed,noun
describe,remained,noun
description,remained,noun
desert,remained,noun
deserve,remained,noun
design,added,noun
designer,added,noun
desire,remained,noun
desk,remained,noun
despair,removed,noun
despite,added,other
destroy,remained,noun
destruction,remained,noun
destructive,removed,adjective
detail,remained,noun
detect,added,noun
determination,added,noun
determine,remained,noun
develop,remained,verb
development,added,noun
device,added,noun
devil,removed,noun
devote,added,noun
dialog,added,noun
diamond,removed,noun
dictionary,removed,noun
die,remained,noun
diet,added,noun
differ,added,noun
difference,remained,noun
different,remained,adjective
differently,added,adverb
difficult,remained,adjective
difficulty,remained,noun
dig,remained,noun
digital,added,adjective
dimension,added,noun
dine,removed,noun
dinner,remained,noun
dip,removed,noun
direct,remained,adjective
direction,remained,noun
directly,added,adverb
director,remained,noun
dirt,removed,noun
dirty,added,noun
disagree,remained,noun
disappear,remained,noun
disappearance,removed,noun
disappoint,remained,noun
disapprove,removed,noun
disaster,added,noun
discipline,remained,noun
discomfort,removed,noun
discontent,removed,noun
discount,added,noun
discover,remained,noun
discovery,remained,noun
discuss,remained,verb
discussion,remained,noun
disease,remained,noun
disgust,removed,noun
dish,remained,noun
disk,added,noun
dismiss,remained,noun
disorder,added,noun
display,added,noun
dispute,added,noun
disregard,removed,noun
disrespect,removed,noun
dissatisfaction,removed,noun
dissatisfied,removed,adjective
distance,remained,noun
distant,remained,adjective
distinct,added,adjective
distinction,added,noun
distinguish,remained,noun
distribute,added,noun
district,remained,noun
disturb,remained,noun
ditch,removed,noun
dive,removed,noun
diversity,added,noun
divide,remained,noun
division,remained,noun
divorce,added,noun
do,remained,verb
doctor,remained,noun
document,added,noun
dog,remained,noun
dollar,remained,noun
domestic,added,adjective
dominate,added,noun
donkey,removed,noun
door,remained,noun
dot,removed,noun
double,remained,adverb
doubt,remained,noun
down,remained,adverb
dozen,remained,noun
draft,added,noun
drag,remained,noun
drama,added,noun
dramatic,added,adjective
dramatically,added,adverb
draw,remained,noun
drawer,removed,noun
dream,remained,noun
dress,remained,noun
drink,remained,noun
drive,remained,noun
driver,added,noun
drop,remained,noun
drown,removed,noun
drug,added,noun
drum,removed,noun
dry,remained,noun
duck,removed,noun
due,remained,adjective
dull,removed,noun
during,remained,other
dust,remained,noun
duty,remained,noun
each,remained,other
eager,removed,noun
ear,remained,noun
early,remained,adverb
earn,remained,noun
earnest,removed,noun
earth,remained,noun
ease,remained,noun
easily,added,adverb
east,remained,noun
eastern,remained,adjective
easy,remained,adjective
eat,remained,noun
economic,added,adjective
economy,added,noun
edge,remained,noun
edit,added,noun
edition,added,noun
editor,added,noun
educate,remained,noun
education,remained,noun
educational,added,adjective
educator,removed,noun
effect,remained,noun
effective,remained,adjective
effectively,added,adverb
efficiency,remained,noun
efficient,remained,adjective
effort,remained,noun
egg,remained,noun
either,remained,other
elastic,removed,adjective
elder,removed,noun
elderly,added,adjective
elect,remained,noun
election,remained,noun
electric,remained,adjective
electrician,removed,noun
electricity,added,noun
electronic,added,adjective
element,added,noun
elephant,removed,noun
eliminate,added,noun
else,remained,adverb
elsewhere,remained,adverb
email,added,noun
embarrass,added,noun
embrace,added,noun
emerge,added,noun
emergency,added,noun
emotion,added,noun
emotional,added,adjective
emphasis,added,noun
emphasize,added,verb
empire,remained,noun
employ,remained,noun
employee,remained,noun
employer,added,noun
employment,added,noun
empty,remained,adjective
enable,added,verb
enclose,removed,verb
enclosure,removed,noun
encounter,added,noun
encourage,remained,noun
end,remained,noun
enemy,remained,noun
energy,added,noun
engage,added,noun
engine,remained,noun
engineer,remained,noun
english,removed,adjective
enhance,added,noun
enjoy,remained,noun
enormous,added,adjective
enough,remained,adverb
ensure,added,verb
enter,remained,noun
enterprise,added,noun
entertain,remained,noun
entertainment,added,noun
entire,remained,adjective
entirely,added,adverb
entitle,added,noun
entrance,remained,noun
entry,added,noun
envelope,remained,noun
environment,added,noun
environmental,added,adjective
envy,removed,noun
episode,added,noun
equal,remained,adjective
equally,added,adverb
equation,added,noun
equipment,added,noun
equivalent,added,noun
era,added,noun
error,added,noun
escape,remained,noun
especially,remained,adverb
essay,added,noun
essence,removed,noun
essential,remained,adjective
establish,added,verb
establishment,added,noun
estate,added,noun
estimate,added,noun
ethnic,added,adjective
evaluate,added,noun
evaluation,added,noun
even,remained,adverb
evening,remained,noun
event,remained,noun
eventually,added,adverb
ever,remained,adverb
everlasting,removed,verb
every,remained,other
everybody,remained,noun
everyday,remained,adjective
everyone,remained,noun
everything,remained,noun
everywhere,remained,adverb
evidence,added,noun
evil,remained,noun
evolution,added,noun
evolve,added,noun
exact,remained,noun
exactly,added,adverb
exam,added,noun
examination,added,noun
examine,remained,noun
example,remained,noun
exceed,added,noun
excellence,removed,noun
excellent,remained,adjective
except,remained,other
exception,remained,noun
excess,remained,noun
excessive,removed,adjective
exchange,remained,noun
excite,remained,noun
excitement,added,noun
exclude,added,noun
excuse,remained,noun
executive,added,noun
exercise,remained,noun
exhaust,added,noun
exhibit,added,noun
exhibition,added,noun
exist,remained,noun
existence,remained,noun
expand,added,noun
expansion,added,noun
expect,remained,verb
expectation,added,noun
expenditure,added,noun
expense,remained,noun
expensive,remained,adjective
experience,remained,noun
experiment,remained,noun
experimental,added,adjective
expert,added,noun
explain,remained,noun
explanation,added,noun
explode,removed,noun
explore,remained,noun
explosion,removed,noun
explosive,removed,adjective
export,added,noun
expose,added,verb
exposure,added,noun
express,remained,noun
expression,remained,noun
extend,remained,noun
extension,remained,noun
extensive,remained,adjective
extent,remained,noun
external,added,adjective
extra,remained,adjective
extract,added,noun
extraordinary,remained,adjective
extreme,remained,noun
extremely,added,adverb
eye,remained,noun
face,remained,noun
facility,added,noun
fact,remained,noun
factor,added,noun
factory,remained,noun
fade,remained,noun
fail,remained,noun
failure,remained,noun
faint,removed,noun
fair,remained,noun
fairly,added,adverb
faith,remained,noun
faithfully,added,adverb
fall,remained,noun
false,remained,adjective
fame,removed,noun
familiar,remained,adjective
family,remained,noun
famous,added,adjective
fan,remained,noun
fancy,remained,noun
fantastic,added,adjective
far,remained,adverb
farm,remained,noun
farmer,added,noun
fascinate,added,noun
fashion,remained,noun
fast,remained,noun
fasten,removed,noun
fat,remained,noun
fate,removed,noun
father,remained,noun
fatten,removed,noun
fault,remained,noun
favor,remained,noun
favorite,remained,noun
fear,remained,noun
feast,removed,noun
feather,removed,noun
feature,added,noun
federal,added,adjective
fee,added,noun
feed,remained,noun
feel,remained,noun
fellow,remained,noun
fellowship,removed,noun
female,remained,noun
fence,remained,noun
festival,added,noun
fever,removed,noun
few,remained,adjective
fiction,added,noun
field,remained,noun
fierce,removed,adjective
fight,remained,noun
figure,remained,noun
file,added,noun
fill,remained,noun
film,remained,noun
filter,added,noun
final,added,adjective
finally,added,adverb
finance,added,noun
financial,added,adjective
find,remained,verb
fine,remained,noun
finger,remained,noun
finish,remained,noun
fire,remained,noun
firm,remained,noun
firmly,added,adverb
first,remained,adverb
firstly,added,adverb
fish,remained,noun
fit,remained,noun
fix,remained,noun
flag,remained,noun
flame,removed,noun
flash,remained,noun
flat,remained,adjective
flatten,removed,noun
flavor,removed,noun
flesh,removed,noun
flexible,added,adjective
flight,added,noun
float,remained,noun
flood,remained,noun
floor,remained,noun
flour,removed,noun
flow,remained,noun
flower,remained,noun
fly,remained,noun
focus,added,noun
fold,remained,noun
folk,added,noun
follow,remained,verb
fond,removed,adjective
food,remained,noun
fool,remained,noun
foot,remained,noun
football,added,noun
for,remained,other
forbid,removed,noun
force,remained,noun
forecast,added,noun
foreign,remained,adjective
forest,remained,noun
forever,added,adverb
forget,remained,noun
forgive,removed,verb
fork,removed,noun
form,remained,noun
formal,remained,adjective
format,added,noun
formation,added,noun
former,remained,adjective
formula,added,noun
forth,remained,noun
fortunate,remained,adjective
fortune,remained,noun
forward,remained,adverb
found,added,verb
foundation,added,noun
fragment,added,noun
frame,remained,noun
framework,remained,noun
free,remained,adjective
freedom,remained,noun
freeze,remained,noun
frequency,remained,noun
frequent,remained,noun
frequently,added,adverb
fresh,remained,adjective
friend,remained,noun
friendly,remained,adjective
friendship,remained,noun
fright,removed,noun
frighten,remained,noun
from,remained,other
front,remained,noun
fruit,remained,noun
fry,removed,noun
fuel,added,noun
fulfill,added,noun
full,remained,adjective
fully,added,adverb
fun,remained,noun
function,added,noun
functional,added,adjective
fund,added,noun
fundamental,added,adjective
funeral,removed,noun
funny,remained,noun
fur,removed,noun
furnish,removed,verb
furniture,remained,noun
further,remained,adverb
furthermore,added,adverb
future,remained,noun
gaiety,removed,noun
gain,remained,noun
gallery,added,noun
gallon,removed,noun
game,remained,noun
gap,remained,noun
garage,removed,noun
garden,remained,noun
gas,remained,noun
gate,remained,noun
gather,remained,noun
gay,remained,noun
gaze,added,noun
gear,added,noun
gender,added,noun
gene,added,noun
general,remained,adjective
generally,added,adverb
generate,added,noun
generation,added,noun
generous,removed,adjective
genetic,added,adjective
gentle,remained,noun
gentleman,remained,noun
gently,added,adverb
genuine,added,adjective
gesture,added,noun
get,remained,verb
giant,added,noun
gift,remained,noun
girl,remained,noun
give,remained,verb
glad,remained,noun
glance,added,noun
glass,remained,noun
global,added,adjective
glory,removed,noun
go,remained,verb
goal,added,noun
goat,removed,noun
god,remained,noun
gold,remained,noun
golden,remained,adjective
golf,added,noun
good,remained,adjective
govern,remained,noun
government,added,noun
governor,remained,noun
grab,added,noun
grace,removed,noun
grade,added,noun
gradual,removed,adjective
gradually,added,adverb
graduate,added,noun
grain,remained,noun
grammar,remained,noun
grammatical,removed,adjective
grand,remained,adjective
grandmother,added,noun
grant,added,noun
grass,remained,noun
grateful,remained,adjective
grave,removed,noun
gray,remained,noun
grease,removed,noun
great,remained,adjective
greatly,added,adverb
greed,removed,noun
green,remained,adjective
greet,remained,noun
grin,added,noun
grind,removed,noun
ground,remained,noun
group,remained,noun
grow,remained,noun
growth,remained,noun
guarantee,added,noun
guard,remained,noun
guess,remained,noun
guest,remained,noun
guide,remained,noun
guideline,added,noun
guilt,removed,noun
guilty,added,adjective
guitar,added,noun
gun,remained,noun
guy,added,noun
habit,remained,noun
hair,remained,noun
half,remained,noun
hall,remained,noun
hammer,removed,noun
hand,remained,noun
handkerchief,removed,noun
handle,remained,noun
handshake,removed,noun
handwriting,removed,verb
hang,remained,noun
happen,remained,verb
happiness,added,noun
happy,remained,adjective
harbor,remained,noun
hard,remained,adjective
harden,removed,noun
hardly,remained,adverb
harm,remained,noun
harvest,removed,noun
haste,removed,noun
hasten,removed,noun
hat,remained,noun
hate,remained,noun
hatred,removed,verb
have,remained,verb
hay,removed,noun
he,remained,other
head,remained,noun
headache,removed,noun
headdress,removed,noun
heal,removed,noun
health,remained,noun
healthy,added,adjective
heap,removed,noun
hear,remained,noun
heart,remained,noun
heat,remained,noun
heaven,removed,noun
heavenly,removed,adjective
heavily,added,adverb
heavy,remained,adjective
height,remained,noun
heighten,removed,noun
hell,added,noun
hello,remained,noun
help,remained,noun
helpful,added,adjective
hence,added,adverb
here,remained,adverb
hero,added,noun
herself,added,noun
hesitate,remained,noun
hesitation,removed,noun
hi,added,noun
hide,remained,noun
high,remained,adjective
highlight,added,noun
highly,added,adverb
highway,removed,noun
hill,remained,noun
himself,added,other
hinder,removed,verb
hindrance,removed,noun
hint,added,noun
hire,remained,noun
historian,added,noun
historic,added,adjective
historical,added,adjective
history,remained,noun
hit,remained,noun
hold,remained,noun
holder,added,noun
hole,remained,noun
holiday,remained,noun
hollow,removed,noun
holy,removed,noun
home,remained,noun
homecoming,removed,verb
homemade,removed,adjective
homework,removed,noun
honest,remained,adjective
honesty,removed,noun
honor,remained,noun
hook,remained,noun
hope,remained,noun
hopefully,added,adverb
horizon,removed,noun
horizontal,removed,noun
horrible,added,adjective
horse,remained,noun
hospital,remained,noun
host,remained,noun
hot,remained,adjective
hotel,remained,noun
hour,remained,noun
house,remained,noun
household,added,noun
how,remained,other
however,remained,adverb
huge,added,adjective
human,remained,noun
humble,removed,adjective
humor,added,noun
hunger,remained,noun
hunt,remained,noun
hurrah,removed,noun
hurry,remained,noun
hurt,remained,noun
husband,remained,noun
hut,removed,noun
hypothesis,added,noun
i,remained,noun
ice,remained,noun
idea,remained,noun
ideal,remained,noun
identify,added,verb
identity,added,noun
idle,removed,adjective
if,remained,other
ignore,added,noun
ill,remained,noun
illegal,added,adjective
illness,added,noun
illustrate,added,noun
illustration,added,noun
image,added,noun
imaginary,removed,adjective
imagination,added,noun
imaginative,removed,adjective
imagine,remained,noun
